"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1107","Delete Author with invalid ID","","Thu Jul 24 13:29:30 UTC 2025","passed","Thu Jul 24 13:29:31 UTC 2025","","Author API Test","Delete Author with invalid ID",""
"","1086","Delete book with invalid ID","","Thu Jul 24 13:29:40 UTC 2025","passed","Thu Jul 24 13:29:41 UTC 2025","","Book API Test","Delete book with invalid ID",""
"","1119","Create book with missing fields","","Thu Jul 24 13:29:37 UTC 2025","passed","Thu Jul 24 13:29:39 UTC 2025","","Book API Test","Create book with missing fields",""
"","1139","Retrieve details of a specific book by its ID.","","Thu Jul 24 13:29:33 UTC 2025","passed","Thu Jul 24 13:29:34 UTC 2025","","Book API Test","Retrieve details of a specific book by its ID.",""
"","1422","Retrieve a list of all books","","Thu Jul 24 13:29:31 UTC 2025","passed","Thu Jul 24 13:29:33 UTC 2025","","Book API Test","Retrieve a list of all books",""
"","1140","Update an existing author’s details.","","Thu Jul 24 13:29:26 UTC 2025","passed","Thu Jul 24 13:29:27 UTC 2025","","Author API Test","Update an existing author’s details.",""
"","1150","Add a new book to the system","","Thu Jul 24 13:29:34 UTC 2025","passed","Thu Jul 24 13:29:35 UTC 2025","","Book API Test","Add a new book to the system",""
"","1097","Update an existing book by its ID.","","Thu Jul 24 13:29:35 UTC 2025","passed","Thu Jul 24 13:29:36 UTC 2025","","Book API Test","Update an existing book by its ID.",""
"","3054","Retrieve a list of all authors","","Thu Jul 24 13:29:20 UTC 2025","passed","Thu Jul 24 13:29:23 UTC 2025","","Author API Test","Retrieve a list of all authors",""
"","1116","Get Author with invalid ID","","Thu Jul 24 13:29:29 UTC 2025","passed","Thu Jul 24 13:29:30 UTC 2025","","Author API Test","Get Author with invalid ID",""
"","1098","Get book with invalid ID","","Thu Jul 24 13:29:39 UTC 2025","passed","Thu Jul 24 13:29:40 UTC 2025","","Book API Test","Get book with invalid ID",""
"","1152","Delete an author by their ID.","","Thu Jul 24 13:29:27 UTC 2025","passed","Thu Jul 24 13:29:28 UTC 2025","","Author API Test","Delete an author by their ID.",""
"","1627","Add a new author to the system","","Thu Jul 24 13:29:24 UTC 2025","passed","Thu Jul 24 13:29:26 UTC 2025","","Author API Test","Add a new author to the system",""
"","1165","Create Author with missing fields","","Thu Jul 24 13:29:28 UTC 2025","passed","Thu Jul 24 13:29:29 UTC 2025","","Author API Test","Create Author with missing fields",""
"","1158","Retrieve details of a specific author by their ID","","Thu Jul 24 13:29:23 UTC 2025","passed","Thu Jul 24 13:29:24 UTC 2025","","Author API Test","Retrieve details of a specific author by their ID",""
"","1117","Delete a book by its ID.","","Thu Jul 24 13:29:36 UTC 2025","passed","Thu Jul 24 13:29:37 UTC 2025","","Book API Test","Delete a book by its ID.",""
